,exploration,adv_courses,Group,Area,Colab,Exp,Resouce,extracurriculars,help_others,confidence,feedback,communication,hours,class
110,No,No,No,Data Analysis,Dislike,10,Peer Discussion,10,1,6,Verbal,Enjoy Communicating,6,Beginner
111,No,Yes,Yes,Computer Vision,Highly Collaborative,3,TextBook,10,10,3,Written,Dislike,5,Advanced
112,No,Yes,No,Data Analysis,Highly Collaborative,1,Peer Discussion,5,6,1,Verbal,Enjoy Communicating,4,Professional
113,Yes,No,Yes,NLP,Dislike,2,Peer Discussion,5,8,5,Verbal,Enjoy Communicating,8,Intermediate
114,Yes,Yes,Yes,Data Analysis,Dislike,9,Online,7,8,10,Written,Neutral,10,Professional
115,No,No,Yes,Deep Learning,Highly Collaborative,3,TextBook,6,7,9,Verbal,Neutral,4,Advanced
116,Yes,Yes,Yes,Computer Vision,Dislike,8,Peer Discussion,3,8,9,Verbal,Enjoy Communicating,6,Intermediate
117,No,No,Yes,Deep Learning,Dislike,6,Peer Discussion,6,6,5,Written,Neutral,4,Professional
118,No,Yes,Yes,Data Analysis,Independent,8,Study Group,2,2,8,Written,Neutral,8,Intermediate
119,No,No,Yes,Computer Vision,Independent,2,Study Group,8,10,7,Verbal,Enjoy Communicating,10,Beginner
120,Yes,No,Yes,NLP,Neutral,5,Online,10,2,1,Verbal,Dislike,4,Professional
121,Yes,No,Yes,NLP,Independent,9,Study Group,10,5,5,Verbal,Neutral,5,Advanced
122,No,No,Yes,Data Analysis,Neutral,3,Study Group,8,2,7,Verbal,Neutral,4,Beginner
123,Yes,Yes,No,Data Analysis,Neutral,3,Study Group,8,2,5,Verbal,Neutral,9,Intermediate
124,Yes,No,No,Deep Learning,Neutral,8,TextBook,7,10,7,Written,Neutral,5,Advanced
125,Yes,Yes,No,Computer Vision,Neutral,10,Study Group,7,8,3,Written,Neutral,9,Advanced
126,No,No,Yes,Computer Vision,Highly Collaborative,1,TextBook,4,7,2,Written,Dislike,10,Beginner
127,Yes,Yes,No,Computer Vision,Highly Collaborative,8,Peer Discussion,6,2,2,Written,Neutral,4,Beginner
128,Yes,Yes,Yes,Data Analysis,Neutral,10,Peer Discussion,10,2,8,Verbal,Dislike,10,Intermediate
129,Yes,No,Yes,Deep Learning,Highly Collaborative,8,Online,6,5,8,Verbal,Dislike,3,Beginner
130,No,No,Yes,Data Analysis,Highly Collaborative,9,TextBook,6,3,7,Verbal,Enjoy Communicating,2,Advanced
131,No,No,No,NLP,Neutral,10,Study Group,3,8,8,Written,Enjoy Communicating,8,Advanced
132,Yes,No,No,Deep Learning,Highly Collaborative,9,Peer Discussion,7,2,8,Verbal,Dislike,6,Beginner
133,No,Yes,Yes,Computer Vision,Neutral,4,Peer Discussion,1,8,7,Verbal,Neutral,5,Intermediate
134,Yes,No,Yes,NLP,Dislike,3,Peer Discussion,8,8,10,Verbal,Neutral,2,Intermediate
135,Yes,No,No,Computer Vision,Independent,3,Peer Discussion,7,1,6,Written,Dislike,4,Advanced
136,No,Yes,No,NLP,Neutral,5,Peer Discussion,6,6,10,Verbal,Enjoy Communicating,5,Intermediate
137,Yes,Yes,No,Computer Vision,Neutral,1,TextBook,5,9,3,Written,Enjoy Communicating,7,Beginner
138,No,No,No,Deep Learning,Neutral,7,Peer Discussion,10,4,8,Written,Dislike,6,Advanced
139,No,Yes,No,NLP,Neutral,1,TextBook,7,4,10,Written,Dislike,10,Professional
140,Yes,Yes,Yes,Computer Vision,Highly Collaborative,2,TextBook,4,7,8,Verbal,Enjoy Communicating,4,Advanced
141,No,Yes,Yes,Computer Vision,Neutral,6,Study Group,3,8,3,Verbal,Neutral,7,Intermediate
142,No,Yes,No,NLP,Neutral,6,Peer Discussion,3,7,9,Written,Enjoy Communicating,5,Advanced
143,No,No,Yes,NLP,Dislike,1,TextBook,10,3,3,Written,Enjoy Communicating,4,Advanced
144,Yes,Yes,Yes,Data Analysis,Highly Collaborative,1,Study Group,2,8,8,Verbal,Enjoy Communicating,7,Professional
145,No,Yes,Yes,NLP,Neutral,10,TextBook,7,3,4,Verbal,Neutral,9,Beginner
146,No,No,No,Computer Vision,Dislike,5,Online,10,1,6,Verbal,Enjoy Communicating,9,Intermediate
147,Yes,No,No,Data Analysis,Dislike,4,Online,6,8,6,Written,Neutral,5,Beginner
148,No,No,Yes,Data Analysis,Highly Collaborative,3,TextBook,9,1,5,Verbal,Neutral,3,Beginner
149,No,No,Yes,NLP,Independent,8,Study Group,1,5,6,Verbal,Dislike,4,Intermediate
150,No,Yes,Yes,Computer Vision,Dislike,2,Study Group,1,2,10,Written,Neutral,4,Professional
151,No,No,Yes,Deep Learning,Highly Collaborative,7,Study Group,2,5,6,Verbal,Dislike,7,Advanced
152,Yes,Yes,No,NLP,Dislike,3,TextBook,10,8,9,Verbal,Neutral,9,Advanced
153,No,No,No,Deep Learning,Independent,3,TextBook,6,10,9,Verbal,Enjoy Communicating,7,Intermediate
154,Yes,No,No,Data Analysis,Dislike,4,Study Group,5,4,2,Verbal,Enjoy Communicating,7,Intermediate
155,No,No,No,NLP,Neutral,1,Study Group,2,8,7,Verbal,Neutral,7,Advanced
156,Yes,No,No,NLP,Dislike,5,TextBook,1,6,5,Written,Dislike,5,Professional
157,No,Yes,No,Computer Vision,Highly Collaborative,1,TextBook,6,5,1,Verbal,Neutral,9,Intermediate
158,No,Yes,No,Deep Learning,Independent,7,Online,5,2,1,Written,Enjoy Communicating,6,Beginner
159,Yes,No,Yes,Deep Learning,Independent,8,Study Group,6,4,8,Written,Enjoy Communicating,8,Beginner
160,No,Yes,Yes,Deep Learning,Highly Collaborative,9,Study Group,6,2,7,Written,Enjoy Communicating,8,Professional
161,Yes,Yes,No,NLP,Dislike,3,Study Group,1,4,8,Written,Enjoy Communicating,6,Intermediate
162,No,No,Yes,NLP,Dislike,5,Peer Discussion,3,7,9,Written,Dislike,8,Advanced
163,No,No,No,NLP,Dislike,1,Online,5,7,5,Verbal,Dislike,2,Professional
164,No,No,No,Data Analysis,Independent,1,Peer Discussion,6,1,2,Written,Enjoy Communicating,1,Intermediate
165,Yes,No,Yes,NLP,Neutral,4,Online,6,5,8,Verbal,Enjoy Communicating,8,Advanced
166,Yes,Yes,No,Computer Vision,Highly Collaborative,2,Peer Discussion,2,7,7,Verbal,Enjoy Communicating,2,Advanced
167,No,No,No,Data Analysis,Neutral,4,TextBook,3,4,1,Verbal,Neutral,1,Intermediate
168,No,No,Yes,Data Analysis,Independent,5,Study Group,9,4,7,Verbal,Neutral,9,Beginner
169,No,No,Yes,Data Analysis,Neutral,7,Study Group,9,8,3,Verbal,Neutral,6,Beginner
170,Yes,Yes,No,Data Analysis,Independent,5,Online,2,6,5,Verbal,Enjoy Communicating,1,Professional
171,Yes,Yes,Yes,Data Analysis,Highly Collaborative,9,Online,5,8,6,Written,Enjoy Communicating,3,Intermediate
172,Yes,Yes,Yes,Computer Vision,Independent,4,Study Group,9,6,2,Verbal,Enjoy Communicating,9,Beginner
173,Yes,Yes,No,NLP,Independent,3,Online,8,6,6,Verbal,Enjoy Communicating,3,Advanced
174,No,No,Yes,Data Analysis,Neutral,7,Peer Discussion,3,8,7,Written,Dislike,1,Intermediate
175,No,Yes,Yes,Deep Learning,Neutral,7,TextBook,10,7,3,Verbal,Dislike,9,Beginner
176,No,Yes,No,NLP,Independent,7,Online,10,7,2,Verbal,Enjoy Communicating,4,Professional
177,Yes,Yes,Yes,NLP,Highly Collaborative,7,Study Group,3,10,7,Written,Dislike,9,Professional
178,Yes,No,Yes,Data Analysis,Neutral,1,TextBook,6,7,1,Written,Enjoy Communicating,7,Advanced
179,Yes,Yes,Yes,Computer Vision,Dislike,6,Peer Discussion,4,8,9,Verbal,Enjoy Communicating,8,Beginner
180,No,No,Yes,NLP,Independent,2,TextBook,7,1,4,Verbal,Dislike,4,Advanced
181,No,Yes,No,Deep Learning,Highly Collaborative,6,TextBook,9,1,8,Written,Neutral,9,Beginner
182,No,No,No,Deep Learning,Dislike,3,Peer Discussion,10,6,3,Written,Dislike,5,Professional
183,No,Yes,No,NLP,Neutral,6,Online,4,6,3,Verbal,Neutral,10,Intermediate
184,No,No,No,Computer Vision,Neutral,6,Peer Discussion,2,2,2,Written,Dislike,6,Intermediate
185,No,Yes,Yes,Data Analysis,Neutral,10,Peer Discussion,9,8,2,Written,Dislike,2,Advanced
186,No,No,No,NLP,Dislike,6,TextBook,6,3,4,Verbal,Neutral,9,Beginner
187,No,Yes,No,Deep Learning,Dislike,1,Study Group,5,1,4,Written,Neutral,9,Intermediate
188,No,No,Yes,Data Analysis,Independent,7,Online,2,9,1,Written,Enjoy Communicating,4,Advanced
189,Yes,Yes,No,Data Analysis,Neutral,8,Online,2,7,7,Written,Enjoy Communicating,7,Intermediate
190,No,Yes,No,Deep Learning,Dislike,7,Online,1,3,2,Written,Neutral,5,Advanced
191,Yes,Yes,No,Data Analysis,Independent,3,TextBook,5,9,9,Verbal,Dislike,7,Advanced
192,Yes,Yes,Yes,Deep Learning,Independent,8,TextBook,6,1,4,Written,Enjoy Communicating,10,Beginner
193,No,No,No,Deep Learning,Highly Collaborative,3,Peer Discussion,6,8,10,Written,Neutral,4,Professional
194,No,No,No,Data Analysis,Dislike,1,TextBook,4,8,8,Verbal,Dislike,9,Advanced
195,Yes,Yes,Yes,NLP,Dislike,6,TextBook,7,8,4,Written,Enjoy Communicating,2,Professional
196,No,No,Yes,Computer Vision,Highly Collaborative,10,TextBook,7,1,10,Verbal,Enjoy Communicating,1,Advanced
197,No,No,Yes,NLP,Highly Collaborative,8,Online,1,4,4,Verbal,Enjoy Communicating,6,Beginner
198,No,No,No,NLP,Independent,6,Peer Discussion,3,7,8,Verbal,Neutral,9,Professional
199,Yes,No,Yes,NLP,Dislike,10,Online,1,2,5,Written,Enjoy Communicating,6,Beginner
200,No,No,Yes,Computer Vision,Neutral,1,Online,2,7,10,Written,Neutral,6,Beginner
201,Yes,No,Yes,Computer Vision,Independent,10,Online,6,3,4,Written,Enjoy Communicating,1,Advanced
202,No,Yes,No,Deep Learning,Dislike,2,Study Group,10,10,9,Written,Enjoy Communicating,1,Intermediate
203,Yes,Yes,Yes,Data Analysis,Highly Collaborative,7,Peer Discussion,3,4,8,Verbal,Enjoy Communicating,10,Professional
204,Yes,No,Yes,NLP,Neutral,8,Study Group,9,3,5,Written,Neutral,9,Professional
205,No,No,Yes,Data Analysis,Independent,4,Peer Discussion,3,4,10,Verbal,Enjoy Communicating,9,Intermediate
206,Yes,Yes,No,Deep Learning,Independent,10,Online,9,4,3,Verbal,Enjoy Communicating,8,Advanced
207,Yes,No,No,Deep Learning,Highly Collaborative,10,Study Group,7,2,9,Written,Dislike,4,Intermediate
208,Yes,Yes,No,Data Analysis,Dislike,1,TextBook,1,10,4,Written,Dislike,5,Advanced
209,Yes,No,Yes,Computer Vision,Neutral,9,TextBook,4,4,2,Verbal,Enjoy Communicating,5,Intermediate
210,No,Yes,Yes,Data Analysis,Neutral,9,Study Group,2,4,2,Written,Neutral,3,Advanced
211,No,Yes,Yes,NLP,Neutral,10,Online,7,10,3,Written,Dislike,10,Intermediate
212,Yes,No,Yes,Data Analysis,Independent,9,Online,3,4,1,Verbal,Enjoy Communicating,10,Professional
213,Yes,No,Yes,Deep Learning,Highly Collaborative,1,Online,5,9,3,Written,Dislike,10,Beginner
214,Yes,No,Yes,Deep Learning,Highly Collaborative,3,Peer Discussion,8,3,8,Written,Neutral,9,Beginner
215,No,No,No,Deep Learning,Highly Collaborative,7,Peer Discussion,7,9,3,Verbal,Neutral,2,Beginner
216,Yes,Yes,No,Computer Vision,Neutral,7,Online,6,3,3,Verbal,Dislike,4,Professional
217,No,Yes,No,Deep Learning,Neutral,6,TextBook,7,1,2,Verbal,Neutral,7,Professional
218,Yes,Yes,No,Data Analysis,Neutral,6,Online,3,10,3,Verbal,Dislike,2,Advanced
219,Yes,Yes,No,Deep Learning,Highly Collaborative,10,Online,5,3,6,Verbal,Neutral,6,Intermediate
220,No,Yes,Yes,Deep Learning,Independent,7,TextBook,3,1,8,Verbal,Neutral,9,Professional
221,Yes,No,Yes,NLP,Highly Collaborative,4,Online,6,9,4,Written,Enjoy Communicating,5,Advanced
222,Yes,Yes,No,Computer Vision,Neutral,10,Study Group,1,2,4,Verbal,Neutral,10,Professional
223,No,Yes,No,NLP,Independent,4,TextBook,10,8,6,Written,Dislike,4,Professional
224,Yes,No,Yes,Data Analysis,Highly Collaborative,5,Study Group,8,1,3,Written,Neutral,8,Advanced
225,No,No,Yes,Deep Learning,Highly Collaborative,9,Online,6,5,6,Written,Enjoy Communicating,5,Professional
226,No,No,No,NLP,Dislike,8,Peer Discussion,4,8,10,Written,Enjoy Communicating,1,Intermediate
227,No,No,No,Data Analysis,Highly Collaborative,7,TextBook,2,9,8,Written,Enjoy Communicating,8,Advanced
228,Yes,No,Yes,Deep Learning,Highly Collaborative,9,Peer Discussion,9,7,1,Written,Neutral,5,Professional
229,No,No,No,Deep Learning,Dislike,4,Peer Discussion,9,3,7,Verbal,Dislike,8,Beginner
230,Yes,No,No,Computer Vision,Highly Collaborative,1,Peer Discussion,8,7,7,Written,Dislike,7,Intermediate
231,Yes,Yes,Yes,Deep Learning,Independent,9,Study Group,7,8,2,Written,Neutral,2,Advanced
232,Yes,Yes,Yes,Data Analysis,Neutral,1,TextBook,8,5,8,Written,Enjoy Communicating,8,Beginner
233,No,No,Yes,Computer Vision,Neutral,5,Study Group,4,6,1,Written,Enjoy Communicating,3,Intermediate
234,No,No,No,Deep Learning,Dislike,6,Peer Discussion,9,5,5,Verbal,Dislike,1,Advanced
235,No,Yes,Yes,NLP,Independent,1,Peer Discussion,7,5,9,Verbal,Enjoy Communicating,6,Intermediate
236,No,No,Yes,Data Analysis,Neutral,10,Study Group,10,5,9,Verbal,Enjoy Communicating,9,Professional
237,No,No,Yes,Computer Vision,Highly Collaborative,5,Study Group,3,1,10,Written,Enjoy Communicating,10,Beginner
238,Yes,Yes,Yes,NLP,Dislike,5,Peer Discussion,6,4,1,Verbal,Dislike,6,Intermediate
239,Yes,Yes,No,NLP,Highly Collaborative,4,Online,2,10,7,Written,Enjoy Communicating,9,Intermediate
240,Yes,No,Yes,Deep Learning,Neutral,7,Online,10,4,9,Verbal,Dislike,9,Professional
241,No,Yes,Yes,Deep Learning,Neutral,8,Online,7,7,5,Written,Dislike,8,Beginner
242,No,No,No,NLP,Neutral,6,TextBook,3,5,2,Written,Enjoy Communicating,2,Intermediate
243,Yes,No,Yes,NLP,Dislike,9,TextBook,5,4,2,Verbal,Enjoy Communicating,3,Advanced
244,Yes,Yes,No,Deep Learning,Independent,5,Study Group,4,1,9,Written,Dislike,1,Beginner
245,No,No,No,Data Analysis,Dislike,9,Online,8,9,6,Verbal,Neutral,4,Professional
246,No,Yes,Yes,Computer Vision,Dislike,2,Study Group,2,8,10,Verbal,Dislike,4,Professional
247,Yes,No,Yes,Data Analysis,Independent,10,TextBook,1,4,7,Written,Dislike,5,Intermediate
248,Yes,No,No,Data Analysis,Independent,4,TextBook,1,5,10,Verbal,Neutral,1,Advanced
249,Yes,No,No,Data Analysis,Highly Collaborative,1,Study Group,5,3,2,Verbal,Enjoy Communicating,8,Advanced
250,No,Yes,No,Data Analysis,Neutral,7,Study Group,1,1,7,Written,Enjoy Communicating,1,Advanced
251,No,No,No,Computer Vision,Highly Collaborative,6,TextBook,8,7,9,Verbal,Dislike,5,Advanced
252,No,Yes,Yes,Deep Learning,Dislike,6,TextBook,2,2,6,Verbal,Neutral,4,Beginner
253,No,Yes,Yes,NLP,Dislike,9,Peer Discussion,9,5,4,Verbal,Enjoy Communicating,5,Professional
254,Yes,Yes,No,Computer Vision,Dislike,9,Online,5,7,2,Verbal,Enjoy Communicating,7,Advanced
