Group,Area,exploration,communication,feedback,extracurriculars,help_others,confidence,adv_courses,Colab,Exp,Resouce,hours,class
No,Data Analysis,No,Neutral,Written,6,2,1,No,Neutral,2,Online,2,Beginner
No,NLP,Yes,Dislike,Written,1,2,1,No,Neutral,2,TextBook,1,Beginner
No,Deep Learning,No,Dislike,Verbal,1,2,1,No,Independent,2,Peer Discussion,2,Beginner
Yes,Computer Vision,No,Enjoy Communicating,Written,10,1,3,No,Neutral,2,Study Group,1,Beginner
Yes,Data Analysis,Yes,Neutral,Verbal,1,2,3,No,Neutral,1,Online,1,Beginner
No,NLP,Yes,Neutral,Written,1,2,3,No,Neutral,1,Online,1,Beginner
Yes,Data Analysis,No,Neutral,Verbal,2,1,2,No,Highly Collaborating,2,TextBook,2,Beginner
Yes,Deep Learning,No,Neutral,Written,10,1,3,No,Independent,1,Peer Discussion,2,Beginner
Yes,Data Analysis,No,Dislike,Written,1,1,1,No,Independent,1,Study Group,2,Beginner
Yes,NLP,No,Dislike,Verbal,8,2,2,No,Highly Collaborating,1,Peer Discussion,1,Beginner
Yes,Data Analysis,No,Neutral,Written,3,1,2,No,Highly Collaborating,1,Peer Discussion,1,Beginner
No,Computer Vision,No,Enjoy Communicating,Written,2,2,2,No,Neutral,2,Peer Discussion,2,Beginner
Yes,Deep Learning,No,Enjoy Communicating,Written,6,1,2,No,Highly Collaborating,2,Online,1,Beginner
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,5,1,1,No,Highly Collaborating,1,Study Group,1,Beginner
Yes,Computer Vision,No,Enjoy Communicating,Written,9,2,3,No,Neutral,1,TextBook,1,Beginner
Yes,Computer Vision,Yes,Neutral,Written,1,1,2,No,Independent,2,Online,2,Beginner
No,Computer Vision,No,Neutral,Written,10,1,2,No,Independent,1,TextBook,1,Beginner
Yes,Deep Learning,Yes,Dislike,Verbal,8,2,2,No,Neutral,1,Online,1,Beginner
No,Data Analysis,No,Dislike,Written,8,1,3,No,Independent,2,TextBook,2,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Written,10,1,1,No,Independent,1,Study Group,2,Beginner
No,Computer Vision,Yes,Dislike,Written,2,2,1,No,Highly Collaborating,1,Peer Discussion,1,Beginner
Yes,Deep Learning,Yes,Neutral,Verbal,7,2,2,No,Independent,1,Peer Discussion,1,Beginner
Yes,Deep Learning,No,Dislike,Written,4,1,3,No,Highly Collaborating,2,TextBook,2,Beginner
Yes,Data Analysis,Yes,Enjoy Communicating,Verbal,3,2,1,No,Independent,2,Study Group,2,Beginner
No,Deep Learning,Yes,Dislike,Verbal,8,1,2,No,Neutral,2,TextBook,1,Beginner
Yes,NLP,No,Enjoy Communicating,Verbal,4,2,1,No,Highly Collaborating,1,Peer Discussion,2,Beginner
No,NLP,No,Enjoy Communicating,Written,8,2,1,No,Independent,1,Online,2,Beginner
No,Deep Learning,Yes,Neutral,Written,7,2,3,No,Highly Collaborating,2,TextBook,1,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Written,1,2,1,No,Neutral,2,TextBook,1,Beginner
Yes,NLP,No,Neutral,Written,10,1,2,No,Independent,2,Peer Discussion,2,Beginner
Yes,NLP,No,Dislike,Written,4,1,2,No,Highly Collaborating,1,Study Group,1,Beginner
No,NLP,No,Dislike,Written,3,2,1,No,Neutral,2,TextBook,2,Beginner
Yes,Computer Vision,Yes,Neutral,Written,4,2,2,No,Independent,2,Online,1,Beginner
No,Deep Learning,No,Enjoy Communicating,Written,1,1,3,No,Highly Collaborating,2,Peer Discussion,2,Beginner
Yes,Deep Learning,Yes,Enjoy Communicating,Verbal,9,1,3,No,Neutral,1,Study Group,1,Beginner
Yes,Deep Learning,No,Neutral,Verbal,10,2,2,No,Neutral,1,Peer Discussion,2,Beginner
Yes,Deep Learning,No,Enjoy Communicating,Written,6,1,2,No,Neutral,1,Study Group,2,Beginner
No,NLP,Yes,Dislike,Written,1,2,2,No,Independent,2,Peer Discussion,1,Beginner
No,Deep Learning,No,Dislike,Verbal,7,1,2,No,Highly Collaborating,1,TextBook,1,Beginner
No,Data Analysis,Yes,Enjoy Communicating,Verbal,8,1,3,No,Independent,2,Study Group,2,Beginner
No,Computer Vision,Yes,Neutral,Verbal,3,2,2,No,Highly Collaborating,1,Peer Discussion,2,Beginner
No,Data Analysis,Yes,Neutral,Verbal,6,2,1,No,Independent,2,Peer Discussion,1,Beginner
Yes,Deep Learning,No,Enjoy Communicating,Verbal,3,1,3,No,Independent,2,Online,2,Beginner
No,Deep Learning,Yes,Dislike,Verbal,5,1,3,No,Independent,2,Online,1,Beginner
No,NLP,No,Enjoy Communicating,Verbal,5,2,2,No,Independent,1,Peer Discussion,2,Beginner
No,Data Analysis,Yes,Dislike,Verbal,3,1,1,No,Neutral,2,TextBook,1,Beginner
No,NLP,No,Dislike,Written,10,2,2,No,Neutral,1,Study Group,1,Beginner
Yes,Deep Learning,No,Dislike,Written,7,1,2,No,Independent,1,Peer Discussion,1,Beginner
No,Computer Vision,No,Enjoy Communicating,Verbal,3,1,2,No,Neutral,1,Online,1,Beginner
No,Deep Learning,Yes,Dislike,Verbal,2,1,1,No,Highly Collaborating,1,Online,2,Beginner
No,NLP,Yes,Neutral,Written,7,2,3,No,Independent,1,TextBook,2,Beginner
No,NLP,Yes,Enjoy Communicating,Written,10,1,3,No,Independent,1,TextBook,2,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Verbal,2,1,2,No,Neutral,2,TextBook,1,Beginner
Yes,NLP,Yes,Neutral,Written,7,1,1,No,Highly Collaborating,1,TextBook,2,Beginner
No,NLP,No,Neutral,Written,7,2,3,No,Independent,2,Online,1,Beginner
Yes,Data Analysis,No,Enjoy Communicating,Written,4,2,2,No,Neutral,1,TextBook,2,Beginner
Yes,NLP,No,Enjoy Communicating,Verbal,7,1,3,No,Independent,2,Peer Discussion,2,Beginner
Yes,Computer Vision,No,Neutral,Written,5,1,3,No,Highly Collaborating,1,Study Group,2,Beginner
No,NLP,Yes,Dislike,Written,4,2,1,No,Independent,1,Study Group,1,Beginner
No,Data Analysis,Yes,Neutral,Written,3,2,1,No,Highly Collaborating,1,Online,2,Beginner
No,Data Analysis,No,Neutral,Written,7,1,1,No,Independent,1,Peer Discussion,1,Beginner
Yes,NLP,Yes,Neutral,Verbal,1,2,1,No,Highly Collaborating,1,Peer Discussion,1,Beginner
No,Computer Vision,No,Neutral,Written,7,1,2,No,Independent,2,TextBook,2,Beginner
Yes,Computer Vision,No,Neutral,Verbal,4,1,1,No,Neutral,1,Peer Discussion,2,Beginner
Yes,NLP,Yes,Dislike,Verbal,1,1,2,No,Independent,2,TextBook,2,Beginner
No,NLP,No,Dislike,Verbal,5,1,3,No,Highly Collaborating,1,Online,2,Beginner
Yes,Data Analysis,Yes,Neutral,Written,5,2,2,No,Neutral,1,Online,1,Beginner
No,Deep Learning,Yes,Neutral,Written,8,1,3,No,Independent,2,Online,1,Beginner
Yes,Deep Learning,No,Enjoy Communicating,Verbal,6,1,3,No,Independent,2,Study Group,1,Beginner
Yes,Data Analysis,Yes,Enjoy Communicating,Verbal,9,1,3,No,Neutral,1,TextBook,1,Beginner
No,Computer Vision,No,Dislike,Verbal,8,2,1,No,Independent,2,Study Group,1,Beginner
Yes,NLP,No,Neutral,Verbal,1,1,1,No,Highly Collaborating,2,TextBook,1,Beginner
Yes,NLP,Yes,Dislike,Written,10,2,3,No,Neutral,1,Peer Discussion,1,Beginner
No,Data Analysis,No,Neutral,Written,9,1,3,No,Independent,1,Online,2,Beginner
Yes,Data Analysis,Yes,Dislike,Written,6,1,3,No,Neutral,2,TextBook,1,Beginner
No,Computer Vision,Yes,Enjoy Communicating,Verbal,6,1,2,No,Independent,2,Peer Discussion,1,Beginner
No,NLP,No,Enjoy Communicating,Verbal,5,1,2,No,Neutral,1,Online,1,Beginner
No,Deep Learning,No,Dislike,Verbal,6,2,3,No,Neutral,2,Study Group,1,Beginner
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,7,2,3,No,Neutral,1,TextBook,1,Beginner
Yes,Data Analysis,Yes,Dislike,Written,2,1,2,No,Highly Collaborating,1,Online,2,Beginner
Yes,Deep Learning,Yes,Dislike,Verbal,2,2,2,No,Neutral,2,TextBook,2,Beginner
No,NLP,Yes,Neutral,Verbal,7,1,3,No,Independent,1,Study Group,2,Beginner
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,8,1,2,No,Independent,2,Online,2,Beginner
Yes,Deep Learning,No,Dislike,Written,3,1,1,No,Neutral,1,Study Group,1,Beginner
No,Deep Learning,Yes,Neutral,Written,8,2,3,No,Highly Collaborating,2,Online,1,Beginner
Yes,NLP,No,Dislike,Verbal,3,2,2,No,Highly Collaborating,2,TextBook,1,Beginner
Yes,Computer Vision,Yes,Neutral,Verbal,9,2,3,No,Independent,2,Peer Discussion,2,Beginner
Yes,NLP,Yes,Enjoy Communicating,Written,3,1,2,No,Neutral,1,Online,2,Beginner
Yes,NLP,Yes,Enjoy Communicating,Verbal,8,1,1,No,Independent,1,Peer Discussion,2,Beginner
No,Data Analysis,No,Enjoy Communicating,Written,7,2,1,No,Highly Collaborating,1,TextBook,1,Beginner
Yes,Computer Vision,No,Dislike,Verbal,5,1,2,No,Independent,2,Peer Discussion,2,Beginner
No,Data Analysis,No,Dislike,Written,4,1,2,No,Independent,1,Peer Discussion,1,Beginner
No,NLP,Yes,Neutral,Written,10,1,1,No,Neutral,1,TextBook,2,Beginner
Yes,Computer Vision,Yes,Enjoy Communicating,Written,7,2,1,No,Neutral,2,Online,1,Beginner
No,Computer Vision,No,Dislike,Verbal,10,2,2,No,Independent,2,Study Group,1,Beginner
Yes,NLP,No,Neutral,Written,4,2,2,No,Independent,1,Peer Discussion,1,Beginner
Yes,NLP,Yes,Dislike,Written,4,2,3,No,Independent,2,TextBook,1,Beginner
No,Computer Vision,Yes,Neutral,Written,3,1,1,No,Neutral,2,Study Group,2,Beginner
Yes,Data Analysis,Yes,Dislike,Verbal,1,2,1,No,Independent,1,Online,1,Beginner
Yes,Computer Vision,Yes,Dislike,Verbal,1,2,1,No,Independent,2,Peer Discussion,2,Beginner
No,Deep Learning,No,Enjoy Communicating,Verbal,1,1,3,No,Highly Collaborating,2,TextBook,2,Beginner
No,Deep Learning,Yes,Neutral,Written,3,2,2,No,Highly Collaborating,2,Study Group,1,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Verbal,4,1,1,No,Highly Collaborating,1,Study Group,1,Beginner
Yes,Data Analysis,Yes,Enjoy Communicating,Written,4,2,2,No,Independent,2,Online,2,Beginner
No,NLP,No,Enjoy Communicating,Verbal,4,1,2,No,Highly Collaborating,1,TextBook,2,Beginner
Yes,Computer Vision,No,Neutral,Written,5,2,3,No,Independent,2,TextBook,1,Beginner
No,Deep Learning,No,Dislike,Written,1,2,1,No,Independent,2,Study Group,1,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Verbal,3,1,3,No,Highly Collaborating,2,Online,1,Beginner
Yes,NLP,No,Dislike,Verbal,8,2,3,No,Independent,1,Study Group,1,Beginner
No,Deep Learning,Yes,Neutral,Verbal,10,1,2,No,Independent,1,Peer Discussion,1,Beginner
No,Deep Learning,No,Enjoy Communicating,Written,3,1,2,No,Neutral,1,Peer Discussion,1,Beginner
Yes,Deep Learning,Yes,Enjoy Communicating,Written,10,1,1,No,Independent,2,TextBook,2,Beginner
No,Data Analysis,No,Enjoy Communicating,Written,3,1,1,No,Neutral,2,Peer Discussion,2,Beginner
No,Data Analysis,Yes,Dislike,Written,10,2,1,No,Highly Collaborating,1,TextBook,2,Beginner
Yes,Deep Learning,Yes,Dislike,Written,3,1,3,No,Highly Collaborating,2,TextBook,1,Beginner
Yes,Computer Vision,No,Enjoy Communicating,Written,4,1,2,No,Highly Collaborating,2,Peer Discussion,1,Beginner
Yes,Deep Learning,No,Dislike,Written,8,2,2,No,Neutral,2,Peer Discussion,2,Beginner
Yes,NLP,Yes,Enjoy Communicating,Verbal,1,1,2,No,Neutral,1,TextBook,1,Beginner
Yes,Deep Learning,No,Neutral,Written,3,2,2,No,Highly Collaborating,2,Online,2,Beginner
No,Deep Learning,No,Dislike,Verbal,1,1,2,No,Highly Collaborating,1,TextBook,2,Beginner
No,Deep Learning,Yes,Dislike,Written,9,2,2,No,Independent,2,Peer Discussion,1,Beginner
No,Data Analysis,Yes,Neutral,Verbal,5,2,2,No,Independent,1,Study Group,1,Beginner
Yes,NLP,No,Neutral,Verbal,1,1,2,No,Independent,2,Online,2,Beginner
Yes,Data Analysis,Yes,Dislike,Written,5,1,2,No,Neutral,2,TextBook,1,Beginner
Yes,Computer Vision,Yes,Dislike,Verbal,2,1,3,No,Neutral,2,Online,2,Beginner
Yes,Computer Vision,No,Dislike,Written,10,2,3,No,Independent,2,TextBook,1,Beginner
Yes,Data Analysis,No,Neutral,Written,10,2,1,No,Independent,1,Study Group,2,Beginner
Yes,NLP,Yes,Neutral,Written,10,2,3,No,Independent,1,Study Group,1,Beginner
Yes,NLP,No,Neutral,Verbal,2,2,2,No,Highly Collaborating,2,Peer Discussion,2,Beginner
Yes,NLP,No,Dislike,Written,6,1,3,No,Independent,2,Online,1,Beginner
Yes,Computer Vision,Yes,Dislike,Written,5,1,1,No,Highly Collaborating,1,Peer Discussion,1,Beginner
Yes,NLP,No,Dislike,Verbal,2,1,3,No,Highly Collaborating,2,Online,1,Beginner
Yes,Deep Learning,Yes,Dislike,Written,9,1,3,No,Highly Collaborating,2,Study Group,2,Beginner
No,Deep Learning,Yes,Neutral,Verbal,9,1,2,No,Neutral,1,Study Group,1,Beginner
No,NLP,Yes,Neutral,Verbal,9,2,2,No,Neutral,1,Online,2,Beginner
No,Data Analysis,No,Dislike,Written,7,2,2,No,Independent,2,TextBook,1,Beginner
Yes,Computer Vision,No,Dislike,Written,3,1,3,No,Neutral,2,Peer Discussion,1,Beginner
No,Deep Learning,No,Dislike,Verbal,9,2,2,No,Neutral,2,Online,2,Beginner
No,Deep Learning,No,Dislike,Written,5,2,2,No,Highly Collaborating,1,Study Group,2,Beginner
Yes,Computer Vision,Yes,Neutral,Verbal,5,2,1,No,Independent,2,Peer Discussion,1,Beginner
Yes,Deep Learning,No,Dislike,Verbal,5,2,1,No,Independent,2,Peer Discussion,2,Beginner
No,Computer Vision,No,Dislike,Written,5,1,2,No,Highly Collaborating,2,TextBook,1,Beginner
No,Data Analysis,Yes,Dislike,Written,8,1,3,No,Independent,2,Study Group,2,Beginner
No,Computer Vision,No,Enjoy Communicating,Verbal,7,1,3,No,Highly Collaborating,2,TextBook,2,Beginner
Yes,Deep Learning,No,Enjoy Communicating,Written,4,2,2,No,Independent,2,Peer Discussion,2,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Verbal,3,1,3,No,Independent,2,Peer Discussion,2,Beginner
No,Deep Learning,No,Enjoy Communicating,Verbal,7,1,3,No,Highly Collaborating,2,Online,1,Beginner
Yes,NLP,Yes,Enjoy Communicating,Written,4,2,2,No,Highly Collaborating,2,Peer Discussion,2,Beginner
Yes,Computer Vision,Yes,Neutral,Verbal,8,2,3,No,Neutral,1,Online,2,Beginner
No,Data Analysis,No,Enjoy Communicating,Verbal,10,2,2,No,Neutral,1,TextBook,2,Beginner
No,Data Analysis,No,Dislike,Verbal,5,1,2,No,Independent,2,Study Group,2,Beginner
Yes,NLP,Yes,Dislike,Verbal,7,1,2,No,Independent,2,Online,2,Beginner
Yes,Data Analysis,No,Enjoy Communicating,Verbal,3,1,1,No,Neutral,1,Peer Discussion,2,Beginner
Yes,Data Analysis,Yes,Enjoy Communicating,Verbal,10,2,1,No,Highly Collaborating,2,Online,2,Beginner
Yes,NLP,No,Enjoy Communicating,Verbal,4,1,1,No,Independent,2,Peer Discussion,1,Beginner
No,Data Analysis,No,Enjoy Communicating,Written,5,1,2,No,Independent,2,TextBook,1,Beginner
No,Data Analysis,Yes,Enjoy Communicating,Verbal,9,2,1,No,Highly Collaborating,1,Peer Discussion,1,Beginner
Yes,NLP,Yes,Neutral,Written,2,1,3,No,Neutral,1,Peer Discussion,1,Beginner
Yes,Data Analysis,No,Neutral,Verbal,3,2,1,No,Independent,1,TextBook,1,Beginner
Yes,NLP,No,Dislike,Written,8,2,1,No,Independent,1,Peer Discussion,2,Beginner
Yes,NLP,No,Enjoy Communicating,Written,4,2,2,No,Highly Collaborating,2,Online,2,Beginner
No,Data Analysis,Yes,Enjoy Communicating,Verbal,4,2,2,No,Neutral,2,Peer Discussion,2,Beginner
Yes,Computer Vision,No,Neutral,Verbal,7,2,1,No,Neutral,1,Online,1,Beginner
Yes,Deep Learning,Yes,Neutral,Written,2,1,3,No,Neutral,2,Peer Discussion,1,Beginner
No,Data Analysis,No,Neutral,Written,2,2,2,No,Neutral,1,Peer Discussion,2,Beginner
Yes,Data Analysis,Yes,Neutral,Verbal,1,2,1,No,Highly Collaborating,2,Online,1,Beginner
Yes,NLP,Yes,Neutral,Written,2,2,3,No,Highly Collaborating,2,Online,2,Beginner
Yes,Data Analysis,Yes,Dislike,Verbal,10,1,2,No,Highly Collaborating,1,Online,1,Beginner
Yes,Computer Vision,No,Dislike,Written,5,1,3,No,Neutral,1,TextBook,2,Beginner
Yes,Computer Vision,No,Neutral,Written,6,1,2,No,Highly Collaborating,2,Peer Discussion,2,Beginner
Yes,Data Analysis,No,Enjoy Communicating,Written,1,1,1,No,Independent,2,TextBook,2,Beginner
No,Deep Learning,Yes,Neutral,Written,6,1,2,No,Highly Collaborating,1,Online,1,Beginner
No,Data Analysis,Yes,Enjoy Communicating,Verbal,5,2,1,No,Independent,2,TextBook,1,Beginner
No,Deep Learning,No,Neutral,Written,8,1,2,No,Independent,1,Online,1,Beginner
No,NLP,Yes,Enjoy Communicating,Written,1,1,3,No,Independent,1,Online,1,Beginner
No,Deep Learning,No,Neutral,Verbal,2,1,3,No,Highly Collaborating,2,TextBook,2,Beginner
No,Deep Learning,Yes,Neutral,Written,10,1,2,No,Neutral,2,Peer Discussion,1,Beginner
Yes,Data Analysis,No,Enjoy Communicating,Written,4,1,1,No,Highly Collaborating,2,Study Group,2,Beginner
Yes,NLP,No,Enjoy Communicating,Written,6,2,1,No,Highly Collaborating,1,Online,1,Beginner
Yes,NLP,No,Enjoy Communicating,Verbal,6,1,2,No,Highly Collaborating,1,Online,1,Beginner
No,Deep Learning,Yes,Dislike,Written,1,2,3,No,Independent,1,Study Group,1,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Written,7,1,1,No,Independent,2,TextBook,1,Beginner
No,Data Analysis,Yes,Dislike,Verbal,5,1,2,No,Neutral,2,Peer Discussion,2,Beginner
No,Deep Learning,Yes,Enjoy Communicating,Verbal,8,2,3,No,Neutral,2,TextBook,2,Beginner
No,Deep Learning,No,Enjoy Communicating,Verbal,5,2,3,No,Independent,1,Study Group,2,Beginner
Yes,Deep Learning,No,Enjoy Communicating,Written,9,1,1,No,Highly Collaborating,1,Peer Discussion,2,Beginner
Yes,Deep Learning,Yes,Enjoy Communicating,Written,8,2,1,No,Highly Collaborating,2,TextBook,2,Beginner
Yes,Deep Learning,Yes,Neutral,Written,7,2,2,No,Highly Collaborating,1,Online,1,Beginner
Yes,Computer Vision,No,Dislike,Written,3,2,1,No,Highly Collaborating,1,Online,1,Beginner
Yes,Data Analysis,Yes,Dislike,Verbal,6,2,3,No,Neutral,1,Online,1,Beginner
Yes,Data Analysis,No,Dislike,Written,5,2,2,No,Neutral,2,Study Group,2,Beginner
No,NLP,No,Dislike,Written,4,2,2,No,Neutral,1,Online,2,Beginner
Yes,Data Analysis,Yes,Neutral,Verbal,10,2,1,No,Highly Collaborating,1,Peer Discussion,1,Beginner
Yes,Data Analysis,No,Neutral,Verbal,7,1,2,No,Highly Collaborating,1,Peer Discussion,2,Beginner
Yes,Computer Vision,No,Neutral,Verbal,6,2,3,No,Independent,1,Online,2,Beginner
No,Deep Learning,Yes,Dislike,Verbal,1,1,1,No,Independent,1,Study Group,1,Beginner
Yes,NLP,No,Enjoy Communicating,Verbal,10,2,1,No,Independent,2,Study Group,2,Beginner
Yes,Data Analysis,Yes,Enjoy Communicating,Written,6,2,1,No,Neutral,2,TextBook,1,Beginner
Yes,NLP,No,Neutral,Written,8,1,2,No,Neutral,2,TextBook,2,Beginner
No,Computer Vision,No,Neutral,Verbal,7,2,2,No,Independent,2,TextBook,1,Beginner
Yes,NLP,Yes,Neutral,Written,5,1,1,No,Neutral,2,Online,2,Beginner
Yes,NLP,Yes,Neutral,Verbal,8,1,1,No,Independent,1,TextBook,2,Beginner
No,Data Analysis,Yes,Dislike,Verbal,7,2,1,No,Neutral,2,Study Group,1,Beginner
Yes,Data Analysis,No,Enjoy Communicating,Written,10,1,1,No,Independent,1,TextBook,1,Beginner
No,Computer Vision,No,Neutral,Verbal,3,1,3,No,Neutral,2,Study Group,1,Beginner
Yes,Deep Learning,No,Neutral,Verbal,7,5,6,No,Independent,6,Study Group,5,Intermediate
Yes,Data Analysis,Yes,Neutral,Verbal,7,6,6,No,Neutral,4,Study Group,4,Intermediate
Yes,Computer Vision,No,Enjoy Communicating,Written,8,4,4,No,Neutral,3,TextBook,4,Intermediate
Yes,NLP,No,Dislike,Verbal,9,3,6,No,Independent,5,TextBook,5,Intermediate
No,NLP,No,Neutral,Written,6,6,4,Yes,Independent,3,TextBook,3,Intermediate
Yes,NLP,No,Neutral,Verbal,7,4,4,Yes,Independent,4,Study Group,6,Intermediate
Yes,Deep Learning,No,Enjoy Communicating,Written,3,3,3,No,Independent,3,Peer Discussion,3,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Written,4,3,3,Yes,Independent,5,TextBook,4,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,8,3,3,Yes,Independent,4,TextBook,3,Intermediate
No,Deep Learning,Yes,Neutral,Written,9,3,6,No,Neutral,4,Online,3,Intermediate
Yes,Computer Vision,No,Dislike,Verbal,5,5,6,No,Highly Collaborating,6,Online,6,Intermediate
Yes,Computer Vision,No,Neutral,Written,6,6,4,No,Highly Collaborating,4,Peer Discussion,4,Intermediate
No,Data Analysis,No,Enjoy Communicating,Verbal,2,4,6,Yes,Highly Collaborating,5,Peer Discussion,6,Intermediate
Yes,Data Analysis,No,Dislike,Verbal,2,4,6,Yes,Neutral,5,Peer Discussion,5,Intermediate
No,Computer Vision,No,Enjoy Communicating,Written,6,4,5,Yes,Independent,3,Online,5,Intermediate
Yes,Computer Vision,No,Neutral,Verbal,1,4,3,Yes,Neutral,6,Online,5,Intermediate
Yes,Computer Vision,Yes,Neutral,Verbal,6,3,5,Yes,Independent,6,TextBook,3,Intermediate
Yes,Data Analysis,Yes,Dislike,Written,2,3,4,No,Highly Collaborating,4,TextBook,5,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Verbal,1,4,5,No,Highly Collaborating,6,Online,4,Intermediate
No,Deep Learning,No,Dislike,Written,10,3,6,No,Highly Collaborating,6,Online,3,Intermediate
